GEO.id	GEO.id2	GEO.display-label	NAICS.id	YEAR.id	ESTAB	ESTAB_S
0400000US01	1	Alabama	23	2012	6865	3.5
0400000US01	1	Alabama	236	2012	1726	6.8
0400000US01	1	Alabama	236115	2012	322	15.5
0400000US01	1	Alabama	236116	2012	16	6.1
0400000US01	1	Alabama	236117	2012	227	19.8
0400000US01	1	Alabama	236118	2012	510	13.8
0400000US01	1	Alabama	236210	2012	90	21.7
0400000US01	1	Alabama	236220	2012	559	11
0400000US01	1	Alabama	237	2012	561	8.8
0400000US01	1	Alabama	237110	2012	135	19.5
0400000US01	1	Alabama	237120	2012	40(s)	41.1(s)
0400000US01	1	Alabama	237130	2012	92	21.2
0400000US01	1	Alabama	237210	2012	48(s)	41.5(s)
0400000US01	1	Alabama	237310	2012	170	13
0400000US01	1	Alabama	237990	2012	76	18.8
0400000US01	1	Alabama	238	2012	4579	4.5
0400000US01	1	Alabama	238110	2012	192	22.6
0400000US01	1	Alabama	238120	2012	30	38.8
0400000US01	1	Alabama	238130	2012	145	29.3
0400000US01	1	Alabama	238140	2012	161	23.6
0400000US01	1	Alabama	238150	2012	48	29.1
0400000US01	1	Alabama	238160	2012	157	21.3
0400000US01	1	Alabama	238170	2012	72	22.3
0400000US01	1	Alabama	238190	2012	32(s)	44.1(s)
0400000US01	1	Alabama	238210	2012	735	10.4
0400000US01	1	Alabama	238220	2012	1245	9.3
0400000US01	1	Alabama	238290	2012	74	22.3
0400000US01	1	Alabama	238310	2012	189	18.4
0400000US01	1	Alabama	238320	2012	331	20.1
0400000US01	1	Alabama	238330	2012	79	26.6
0400000US01	1	Alabama	238340	2012	58	32.6
0400000US01	1	Alabama	238350	2012	187	20.2
0400000US01	1	Alabama	238390	2012	128	28.6
0400000US01	1	Alabama	238910	2012	468	13.6
0400000US01	1	Alabama	238990	2012	246	16.5
0400000US02	2	Alaska	23	2012	2156	5
0400000US02	2	Alaska	236	2012	688	10
0400000US02	2	Alaska	236115	2012	187	19.3
0400000US02	2	Alaska	236116	2012	5(s)	40.1(s)
0400000US02	2	Alaska	236117	2012	51	22.4
0400000US02	2	Alaska	236118	2012	260	19.8
0400000US02	2	Alaska	236210	2012	11	0
0400000US02	2	Alaska	236220	2012	175	14.6
0400000US02	2	Alaska	237	2012	214	12.1
0400000US02	2	Alaska	237110	2012	78	30.5
0400000US02	2	Alaska	237120	2012	12	8.7
0400000US02	2	Alaska	237130	2012	23	8.8
0400000US02	2	Alaska	237210	2012	11	34
0400000US02	2	Alaska	237310	2012	68	12.8
0400000US02	2	Alaska	237990	2012	22	14.9
0400000US02	2	Alaska	238	2012	1253	6.4
